Question,Yes,No,Abstain
Should Harvard College repeal the proposed sanctions on Unrecognized Single-Gendered Organizations?,1820,923,299
Do you think that the unrecognized single gender social organizations should have gender-inclusive membership by a means different than the current College administered sanctions?,1039,1176,827
